t,U_x,U_y,U_z,solver,dt
0.0818616,0.2967076,0.2747018,0.2540246,interIsoFoam,0.0003908000000000106
0.0822524,0.2966583,0.2745737,0.2542937,interIsoFoam,0.0003907999999999967
0.0826431,0.2966061,0.2744475,0.2545528,interIsoFoam,0.00039069999999999383
0.0830336,0.2965475,0.2743168,0.2548243,interIsoFoam,0.00039050000000000196
0.083424,0.2964875,0.2741913,0.2551022,interIsoFoam,0.0003903999999999991
0.0838144,0.2964259,0.2740665,0.2553804,interIsoFoam,0.0003903999999999991
0.0842044,0.2963619,0.2739387,0.2556554,interIsoFoam,0.00039000000000000146
0.0845945,0.2962978,0.2738088,0.2559279,interIsoFoam,0.00039010000000000433
0.0849845,0.2962335,0.2736714,0.2562134,interIsoFoam,0.00039000000000000146
0.0853746,0.296169,0.2735373,0.2565239,interIsoFoam,0.00039009999999999045
0.0857643,0.2961088,0.2734035,0.256833,interIsoFoam,0.0003897000000000067
0.086154,0.2960537,0.2732694,0.2571385,interIsoFoam,0.00038969999999999283
0.0865437,0.2960008,0.2731202,0.2574501,interIsoFoam,0.0003897000000000067
0.0869333,0.2959559,0.2729679,0.2577494,interIsoFoam,0.00038960000000000383
0.0873227,0.2959152,0.2728135,0.2580349,interIsoFoam,0.0003893999999999981
0.087712,0.2958796,0.2726522,0.2583182,interIsoFoam,0.0003892999999999952
0.0881013,0.295853,0.2724896,0.2585894,interIsoFoam,0.0003892999999999952
0.0884906,0.2958299,0.2723183,0.2588398,interIsoFoam,0.0003893000000000091
0.0888799,0.2957969,0.2721026,0.2591336,interIsoFoam,0.0003892999999999952
0.0892689,0.295734,0.2718316,0.2595044,interIsoFoam,0.00038900000000000046
0.0896578,0.295708,0.2716518,0.259763,interIsoFoam,0.0003888999999999976
0.0900468,0.2956561,0.2714154,0.2600682,interIsoFoam,0.00038900000000000046
0.0904357,0.2955717,0.2711108,0.260446,interIsoFoam,0.0003888999999999976
0.0908247,0.2954836,0.2707996,0.2608222,interIsoFoam,0.00038900000000000046
0.0912133,0.2953928,0.2705106,0.261159,interIsoFoam,0.00038860000000000283
0.0916018,0.2952975,0.2702077,0.2614831,interIsoFoam,0.00038849999999999996
0.0919904,0.295199,0.2699099,0.2617754,interIsoFoam,0.00038860000000000283
0.092379,0.2951148,0.2696247,0.2620126,interIsoFoam,0.00038860000000000283
0.0927676,0.2950454,0.2693793,0.2622334,interIsoFoam,0.00038860000000000283
0.0931565,0.2950063,0.2691244,0.2624025,interIsoFoam,0.0003888999999999976
0.0935455,0.2949691,0.2688968,0.2625322,interIsoFoam,0.00038900000000000046
0.0939344,0.2949239,0.2686895,0.2626387,interIsoFoam,0.0003888999999999976
0.0943238,0.2949149,0.2684167,0.2627033,interIsoFoam,0.0003893999999999981
0.0947131,0.2949106,0.2681163,0.2627541,interIsoFoam,0.0003892999999999952
0.0951028,0.2949139,0.2677742,0.2627906,interIsoFoam,0.0003897000000000067
0.0954929,0.2948968,0.267541,0.2628038,interIsoFoam,0.00039010000000000433
0.0958833,0.2948784,0.2672943,0.262817,interIsoFoam,0.0003903999999999991
0.0962738,0.2949498,0.2670355,0.2627774,interIsoFoam,0.00039050000000000196
